,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
0,American Airlines Inc.,"('ABQ', 'DFW')","('Albuquerque, NM', 'Dallas/Fort Worth, TX')",569.0,6.843891402714934,2874.268091852125,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
1,American Airlines Inc.,"('ALB', 'CLT')","('Albany, NY', 'Charlotte, NC')",646.0,0.946153846153846,26.290525690525683,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
2,American Airlines Inc.,"('ANC', 'DFW')","('Anchorage, AK', 'Dallas/Fort Worth, TX')",3043.0,5.310344827586206,157.07881773399012,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
3,American Airlines Inc.,"('ANC', 'LAX')","('Anchorage, AK', 'Los Angeles, CA')",2345.0,26.517241379310345,12432.75862068965,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
4,American Airlines Inc.,"('ANC', 'PHX')","('Anchorage, AK', 'Phoenix, AZ')",2552.0,1.6,60.130337078651685,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
5,American Airlines Inc.,"('ATL', 'CLT')","('Atlanta, GA', 'Charlotte, NC')",226.0,2.703804347826087,456.6658902691513,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
6,American Airlines Inc.,"('ATL', 'DFW')","('Atlanta, GA', 'Dallas/Fort Worth, TX')",731.0,6.035612535612535,901.3753347883156,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
7,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,395.83512723407097,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
8,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,31.672229822161412,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
9,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946.0,6.17816091954023,395.83512723407097,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats",<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>,"('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png>', 'long haul, missed connecting, lie flat seats')"
