,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
0,American Airlines Inc.,"('ABQ', 'DFW')","('Albuquerque, NM', 'Dallas/Fort Worth, TX')",569,6.8,2874.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
1,American Airlines Inc.,"('ALB', 'CLT')","('Albany, NY', 'Charlotte, NC')",646,0.9,26.3,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
2,American Airlines Inc.,"('ANC', 'DFW')","('Anchorage, AK', 'Dallas/Fort Worth, TX')",3043,5.3,157.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
3,American Airlines Inc.,"('ANC', 'LAX')","('Anchorage, AK', 'Los Angeles, CA')",2345,26.5,12432.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
4,American Airlines Inc.,"('ANC', 'PHX')","('Anchorage, AK', 'Phoenix, AZ')",2552,1.6,60.1,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
5,American Airlines Inc.,"('ATL', 'CLT')","('Atlanta, GA', 'Charlotte, NC')",226,2.7,456.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
6,American Airlines Inc.,"('ATL', 'DFW')","('Atlanta, GA', 'Dallas/Fort Worth, TX')",731,6.0,901.4,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
7,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
8,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
9,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
10,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1946,6.2,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
11,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
12,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,31.7,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
13,American Airlines Inc.,"('ATL', 'LAX')","('Atlanta, GA', 'Los Angeles, CA')",1947,1.3,395.8,3.7,2.5,2.0,1.9,2.3,2.4,"long haul, missed connecting, lie flat seats","<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">","('<img src=http://crushed.com/wp-content/uploads/2014/04/american_airlines.png""style=width: 80%; height: 80%/"">', 'long haul, missed connecting, lie flat seats')"
