,airline_name,cabin,entertainment,food_bev,ground,money_value,overall,recommended,review_sentiment,wifi,UNIQUE_CARRIER
0,alaska-airlines,3.7,1.7,2.9,4.2,3.2,6.9,0.6,0.4,3.7,AS
1,american-airlines,2.5,2.0,2.3,1.9,2.4,3.7,0.3,-0.0,1.9,AA
2,delta-air-lines,3.4,2.7,2.9,3.1,3.0,6.2,0.5,0.3,2.8,DL
3,frontier-airlines,2.3,1.4,1.3,1.5,2.2,4.1,0.2,-0.1,1.0,F9
4,hawaiian-airlines,3.6,2.4,3.0,3.1,2.9,6.1,0.6,0.3,1.7,HA
5,jetblue-airways,3.5,3.4,3.2,3.3,3.5,7.2,0.6,0.4,4.1,B6
6,skywest-airlines,3.2,0.8,0.8,5.0,2.6,7.2,0.5,0.6,,OO
7,southwest-airlines,3.5,2.5,2.8,2.9,3.4,6.8,0.6,0.3,2.6,WN
8,spirit-airlines,2.1,1.2,1.4,1.5,2.0,2.9,0.2,-0.1,1.0,NK
9,united-airlines,2.4,2.1,2.0,1.8,2.2,3.4,0.2,0.1,1.9,UA
10,virgin-america,3.5,3.6,2.9,3.5,3.6,7.3,0.7,0.5,2.5,VX
