,genre,title,script_link
0,Action,Star Wars: The Force Awakens,http://www.imsdb.com/scripts/Star-Wars-The-Force-Awakens.html
1,Action,"Abyss, The","http://www.imsdb.com/scripts/Abyss,-The.html"
2,Action,Back to the Future,http://www.imsdb.com/scripts/Back-to-the-Future.html
3,Action,"Breakfast Club, The","http://www.imsdb.com/scripts/Breakfast-Club,-The.html"
4,Action,Star Wars: The Force Awakens,http://www.imsdb.com/scripts/Star-Wars-The-Force-Awakens.html
5,Action,15 Minutes,http://www.imsdb.com/scripts/15-Minutes.html
6,Action,2012,http://www.imsdb.com/scripts/2012.html
7,Action,30 Minutes or Less,http://www.imsdb.com/scripts/30-Minutes-or-Less.html
8,Action,48 Hrs.,http://www.imsdb.com/scripts/48-Hrs..html
9,Action,Above the Law,http://www.imsdb.com/scripts/Above-the-Law.html
10,Action,"Abyss, The","http://www.imsdb.com/scripts/Abyss,-The.html"
11,Action,Air Force One,http://www.imsdb.com/scripts/Air-Force-One.html
12,Action,Alien,http://www.imsdb.com/scripts/Alien.html
13,Action,Alien 3,http://www.imsdb.com/scripts/Alien-3.html
14,Action,Alien vs. Predator,http://www.imsdb.com/scripts/Alien-vs.-Predator.html
15,Action,Alien: Resurrection,http://www.imsdb.com/scripts/Alien-Resurrection.html
16,Action,Aliens,http://www.imsdb.com/scripts/Aliens.html
17,Action,Alone in the Dark,http://www.imsdb.com/scripts/Alone-in-the-Dark.html
18,Action,American Outlaws,http://www.imsdb.com/scripts/American-Outlaws.html
19,Action,American Shaolin: King of Kickboxers II,http://www.imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html
20,Action,Apocalypse Now,http://www.imsdb.com/scripts/Apocalypse-Now.html
21,Action,Arctic Blue,http://www.imsdb.com/scripts/Arctic-Blue.html
22,Action,Armageddon,http://www.imsdb.com/scripts/Armageddon.html
23,Action,Army of Darkness,http://www.imsdb.com/scripts/Army-of-Darkness.html
24,Action,Assassins,http://www.imsdb.com/scripts/Assassins.html
25,Action,Austin Powers - International Man of Mystery,http://www.imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html
26,Action,Austin Powers - The Spy Who Shagged Me,http://www.imsdb.com/scripts/Austin-Powers---The-Spy-Who-Shagged-Me.html
27,Action,Avatar,http://www.imsdb.com/scripts/Avatar.html
