,rank,title,studio,lifetime_gross,theaters,opening,theaters,release_date,genre
0,NaN,Titanic,Par.,"$658,672,302","3,265","$28,638,131","2,674",12/19/97,disaster
1,2,Independence Day,Fox,"$306,169,268","2,977","$50,228,264","2,882",7/3/96,disaster
2,3,Gravity,WB,"$274,092,705","3,820","$55,785,112","3,575",10/4/13,disaster
3,4,Twister,WB,"$241,721,524","2,808","$41,059,405","2,414",5/10/96,disaster
4,5,War of the Worlds,Par.,"$234,280,354","3,910","$64,878,725","3,908",6/29/05,disaster
5,6,World War Z,Par.,"$202,359,711","3,607","$66,411,834","3,607",6/21/13,disaster
6,7,Armageddon,BV,"$201,578,182","3,184","$36,089,972","3,127",7/1/98,disaster
7,8,Godzilla (2014),WB,"$200,676,069","3,952","$93,188,384","3,952",5/16/14,disaster
8,9,The Day After Tomorrow,Fox,"$186,740,799","3,444","$68,743,584","3,425",5/28/04,disaster
9,10,The Perfect Storm,WB,"$182,618,434","3,407","$41,325,042","3,407",6/30/00,disaster
10,11,Apollo 13,Uni.,"$173,837,933","2,347","$25,353,380","2,197",6/30/95,disaster
11,12,2012,Sony,"$166,112,167","3,444","$65,237,614","3,404",11/13/09,disaster
12,13,San Andreas,WB,"$155,190,832","3,812","$54,588,173","3,777",5/29/15,disaster
13,14,Deep Impact,Par.,"$140,464,664","3,280","$41,152,375","3,156",5/8/98,disaster
14,15,Godzilla,Sony,"$136,314,294","3,310","$44,047,541","3,310",5/20/98,disaster
15,16,This is the End,Sony,"$101,470,202","3,055","$20,719,162","3,055",6/12/13,disaster
16,17,Noah,Par.,"$101,200,044","3,571","$43,720,472","3,567",3/28/14,disaster
17,18,Knowing,Sum.,"$79,957,634","3,337","$24,604,751","3,332",3/20/09,disaster
18,19,Contagion,WB,"$75,658,097","3,222","$22,403,596","3,222",9/9/11,disaster
19,20,Vertical Limit,Sony,"$69,243,859","2,602","$15,507,845","2,307",12/8/00,disaster
20,21,Dante's Peak,Uni.,"$67,127,760","2,761","$18,479,435","2,657",2/7/97,disaster
21,22,Poseidon,WB,"$60,674,817","3,555","$22,155,410","3,555",5/12/06,disaster
22,23,The Grey,ORF,"$51,580,236","3,208","$19,665,101","3,185",1/27/12,disaster
23,24,Volcano,Fox,"$49,323,468","2,777","$14,581,740","2,774",4/25/97,disaster
24,25,Into The Storm,WB (NL),"$47,602,194","3,434","$17,346,427","3,434",8/8/14,disaster
25,26,Alive,BV,"$36,733,909","1,337","$8,624,292","1,132",1/15/93,disaster
26,27,Daylight,Uni.,"$33,023,469","2,189","$10,015,875","2,175",12/6/96,disaster
27,28,The Core,Par.,"$31,186,896","3,019","$12,053,131","3,017",3/28/03,disaster
28,29,The Finest Hours,BV,"$27,569,558","3,143","$10,288,932","3,143",1/29/16,disaster
29,30,The World's End,Focus,"$26,004,851","1,553","$8,811,790","1,551",8/23/13,disaster
30,31,In the Heart of the Sea,WB,"$25,020,758","3,103","$11,053,366","3,103",12/11/15,disaster
31,32,Pompeii,TriS,"$23,219,748","2,658","$10,340,823","2,658",2/21/14,disaster
32,33,Flight of the Phoenix,Fox,"$21,009,180","2,604","$5,019,430","2,604",12/17/04,disaster
33,34,Hard Rain,Par.,"$19,870,567","2,132","$8,009,024","2,107",1/16/98,disaster
34,35,The Impossible,LG/S,"$19,019,882",886,"$143,818",15,12/21/12,disaster
35,36,Left Behind (2014),Free,"$14,019,924","1,887","$6,300,147","1,825",10/3/14,disaster
36,37,The Concorde: Airport '79,Uni.,"$13,015,688",-,n/a,-,8/3/79,disaster
37,38,The 33,WB,"$12,227,722","2,452","$5,787,266","2,452",11/13/15,disaster
38,39,White Squall,BV,"$10,292,300","1,524","$3,908,514","1,524",2/2/96,disaster
39,40,Meteor,AIP,"$8,400,000",575,"$2,250,000",575,10/19/79,disaster
40,41,Firestorm,Fox,"$8,165,212","2,057","$3,849,308","2,037",1/9/98,disaster
41,42,Seeking a Friend for the End of the World,Focus,"$7,078,738","1,625","$3,822,803","1,625",6/22/12,disaster
42,43,When Time Ran Out,WB,"$3,763,988",677,"$1,400,994",677,3/28/80,disaster
43,44,The Trigger Effect,Gram.,"$3,622,979",524,"$1,887,791",524,8/30/96,disaster
44,45,Testament,Par.,"$2,044,892",41,"$317,996",41,11/4/83,disaster
45,46,City on Fire,AVCO,"$784,181",-,n/a,-,9/14/79,disaster
46,47,The Wave,Magn.,"$177,404",37,"$60,321",33,3/4/16,disaster
47,48,Aftershock (Tangshan Dadizhen),CL,"$62,962",25,"$19,329",25,10/29/10,disaster
48,49,It's a Disaster,Osci.,"$60,818",13,"$15,305",3,4/12/13,disaster
49,50,Aftershock,RTWC,"$58,510",110,"$40,179",110,5/10/13,disaster
50,-,The Cassandra Crossing,AVCO,n/a,-,n/a,-,2/9/77,disaster
51,-,The Hindenburg,Uni.,n/a,-,n/a,-,12/25/75,disaster
52,NaN,Grease,Par.,"$188,755,690",862,"$8,941,717",862,6/16/78,musical
53,2,Chicago,Mira.,"$170,687,518","2,701","$2,074,929",77,12/27/02,musical
54,3,Les Miserables (2012),Uni.,"$148,809,770","2,927","$27,281,735","2,814",12/25/12,musical
55,4,Mamma Mia!,Uni.,"$144,130,063","3,194","$27,751,240","2,976",7/18/08,musical
56,5,Into the Woods,BV,"$128,002,372","2,833","$31,051,923","2,440",12/25/14,musical
57,6,Enchanted,BV,"$127,807,262","3,730","$34,440,317","3,730",11/21/07,musical
58,7,Hairspray (2007),NL,"$118,871,849","3,121","$27,476,745","3,121",7/20/07,musical
59,8,The Rocky Horror Picture Show,Fox,"$112,892,319",-,n/a,-,9/26/75,musical
60,9,Dreamgirls,P/DW,"$103,365,956","2,797","$378,950",3,12/15/06,musical
61,10,High School Musical 3: Senior Year,BV,"$90,559,416","3,626","$42,030,184","3,623",10/24/08,musical
62,11,The Muppets,BV,"$88,631,237","3,440","$29,239,026","3,440",11/23/11,musical
63,12,Annie (2014),Sony,"$85,911,262","3,197","$15,861,939","3,116",12/19/14,musical
64,13,The Best Little Whorehouse in Texas,Uni.,"$69,701,637","1,435","$11,874,268","1,400",7/23/82,musical
65,14,Moulin Rouge!,Fox,"$57,386,607","2,283","$167,540",2,5/18/01,musical
66,15,The Blues Brothers,Uni.,"$57,229,890",-,"$4,858,152",594,6/20/80,musical
67,16,Annie,Col.,"$57,059,003","1,102","$510,632",14,5/21/82,musical
68,17,Sweeney Todd: The Demon Barber of Fleet Street,P/DW,"$52,898,073","1,507","$9,300,805","1,249",12/21/07,musical
69,18,The Phantom of the Opera,WB,"$51,268,815","1,515","$4,001,890",622,12/22/04,musical
70,19,Muppets Most Wanted,BV,"$51,183,113","3,194","$17,005,126","3,194",3/21/14,musical
71,20,Evita,BV,"$50,047,179","1,045","$195,085",2,12/25/96,musical
72,21,Popeye,Par.,"$49,823,037",901,"$6,310,520",901,12/12/80,musical
73,22,Jersey Boys,WB,"$47,047,013","2,905","$13,319,371","2,905",6/20/14,musical
74,23,Yentl,MGM,"$40,218,899",747,"$3,050,219",501,11/18/83,musical
75,24,Burlesque,SGem,"$39,440,655","3,037","$11,947,744","3,037",11/24/10,musical
76,25,Funny Lady,Col.,"$39,000,000",-,n/a,-,3/9/75,musical
77,26,Little Shop of Horrors,WB,"$38,748,395","1,183","$3,659,884",866,12/19/86,musical
78,27,Rock of Ages,WB (NL),"$38,518,613","3,470","$14,437,269","3,470",6/15/12,musical
79,28,All That Jazz,Fox,"$37,823,676",-,"$86,229",5,12/20/79,musical
80,29,Tommy,Col.,"$34,251,525",-,n/a,-,3/14/75,musical
81,30,Rent,SonR,"$29,077,547","2,437","$10,016,021","2,433",11/23/05,musical
82,31,Victor/Victoria,MGM,"$28,215,453",615,"$139,634",3,3/19/82,musical
83,32,That's Entertainment!,MGM,"$26,890,200",-,n/a,-,5/18/74,musical
84,33,Across the Universe,SonR,"$24,343,673",964,"$667,784",23,9/14/07,musical
85,34,Xanadu,Uni.,"$22,762,571",-,"$1,471,595",249,8/8/80,musical
86,35,The Wiz,Uni.,"$21,049,053",-,n/a,-,10/1/78,musical
87,36,Sgt. Pepper's Lonely Hearts Club Band,Uni.,"$20,378,470",-,n/a,-,7/21/78,musical
88,37,Nine,Wein.,"$19,676,965","1,412","$257,232",4,12/18/09,musical
89,38,The Producers,Uni.,"$19,398,532",978,"$154,590",6,12/16/05,musical
90,39,"New York, New York",UA,"$16,400,000",-,n/a,-,6/22/77,musical
91,40,Hair,MGM,"$15,284,643",-,n/a,-,3/14/79,musical
92,41,Grease 2,Par.,"$15,171,476","1,250","$4,645,411","1,250",6/11/82,musical
93,42,School Daze,Col.,"$14,545,844",224,"$1,802,656",220,2/12/88,musical
94,43,A Chorus Line,Col.,"$14,202,899",680,"$222,919",19,12/13/85,musical
95,44,Blues Brothers 2000,Uni.,"$14,051,384","2,516","$6,129,615","2,507",2/6/98,musical
96,45,De-Lovely,UA,"$13,456,633",410,"$292,963",16,7/2/04,musical
97,46,Idlewild,Uni.,"$12,571,185",975,"$5,745,780",973,8/25/06,musical
98,47,Everyone Says I Love You,Mira.,"$9,759,200",276,"$131,678",3,12/6/96,musical
99,48,Pennies From Heaven,MGM,"$9,171,289",-,"$520,000",315,12/11/81,musical
100,49,Cry-Baby,Uni.,"$8,266,343","1,236","$3,004,905","1,229",4/6/90,musical
101,50,The Pirate Movie,Fox,"$7,983,086",757,"$2,528,133",757,8/6/82,musical
102,51,Sarafina!,BV,"$7,306,242",700,"$76,488",2,9/18/92,musical
103,52,Black Nativity,FoxS,"$7,018,189","1,525","$3,669,530","1,516",11/27/13,musical
104,53,Beyond the Sea,Lions,"$6,318,709",383,"$45,264",6,12/17/04,musical
105,54,That's Entertainment! II,MGM,"$4,979,380",-,n/a,-,5/16/76,musical
106,55,Dancer in the Dark,FL,"$4,184,036",126,"$91,612",3,9/22/00,musical
107,56,Earth Girls Are Easy,Vest,"$3,916,303",317,"$892,742",317,5/12/89,musical
108,57,La Traviata,Uni.,"$3,783,329",-,n/a,-,4/22/83,musical
109,58,Zoot Suit,Uni.,"$3,256,082",-,"$63,356",57,10/2/81,musical
110,59,Sing Street,Wein.,"$3,119,256",525,"$63,573",5,4/15/16,musical
111,60,Hedwig and the Angry Inch,FL,"$3,067,312",101,"$156,724",9,7/20/01,musical
112,61,Newsies,BV,"$2,819,485","1,259","$1,232,508","1,223",4/10/92,musical
113,62,Bugsy Malone,Par.,"$2,783,840",-,n/a,-,9/15/76,musical
114,63,At Long Last Love,Fox,"$1,500,000",-,n/a,-,3/6/75,musical
115,64,Absolute Beginners,Orion,"$930,211",4,"$83,743",4,4/18/86,musical
116,65,The Pirates of Penzance,Uni.,"$694,497",91,"$255,496",91,2/18/83,musical
117,66,Annie Brocoli dans les fonds marin,TVA,"$374,360",55,"$48,174",55,12/19/03,musical
118,67,Marilyn Hotchkiss' Ballroom Dancing & Charm School,IDP,"$349,132",46,"$92,668",38,3/31/06,musical
119,68,The Singing Detective,ParC,"$337,174",46,"$28,324",5,10/24/03,musical
120,69,Love's Labour's Lost,Mira.,"$299,792",14,"$24,496",2,6/9/00,musical
121,70,That's Entertainment! III,MGM,"$280,163",6,"$36,220",2,5/6/94,musical
122,71,Repo: The Genetic Opera,LGF,"$146,750",11,"$53,684",8,11/7/08,musical
123,72,The Last 5 Years,RTWC,"$145,427",36,"$42,042",3,2/13/15,musical
124,73,Jack Paradise,K,"$79,974",31,"$41,704",31,2/20/04,musical
125,74,"Bert Rigby, You're a Fool",WB,"$75,868",23,"$40,498",23,2/24/89,musical
126,75,Madame Butterfly,Arro.,"$65,196",1,"$6,027",1,5/3/96,musical
127,76,Dracula: Pages from a Virgin's Diary,Zeit.,"$55,365",2,"$4,784",1,5/14/03,musical
128,77,The Fantasticks,MGM,"$49,666",6,"$24,176",6,9/22/00,musical
129,78,Very Annie Mary,Emp.,"$46,352",6,"$10,867",6,3/29/02,musical
130,79,Colma: The Musical,RAtt.,"$41,131",2,"$8,403",1,6/22/07,musical
131,80,Guy and Madeline on a Park Bench,Vari.,"$35,556",5,"$3,233",1,11/5/10,musical
132,81,Naked Boys Singing,TLA,"$25,526",3,"$3,690",1,10/12/07,musical
133,82,The Big Gay Musical,N/A,"$24,140",1,"$8,053",1,9/11/09,musical
134,83,Stage Fright (2014),Magn.,"$7,078",11,"$3,562",11,5/9/14,musical
135,84,20 Centimeters,TLA,"$6,635",2,"$2,177",1,10/27/06,musical
136,85,I Kissed a Vampire,Mont.,"$1,794",11,"$1,380",11,3/30/12,musical
137,NaN,Sin City,Dim.,"$74,103,820","3,230","$29,120,273","3,230",4/1/05,neonoir
138,2,L.A. Confidential,WB,"$64,616,940","1,625","$5,211,198",769,9/19/97,neonoir
139,3,Blade Runner,WB,"$32,868,943","1,325","$6,150,002","1,295",6/25/82,neonoir
140,4,Wild Things,Sony,"$30,147,739","2,177","$9,622,444","2,177",3/20/98,neonoir
141,5,Memento,NM,"$25,544,867",531,"$235,488",11,3/16/01,neonoir
142,6,Fargo,Gram.,"$24,611,975",716,"$730,265",36,3/8/96,neonoir
143,7,Body Heat,WB,"$24,058,838",-,"$564,593",34,8/28/81,neonoir
144,8,The Black Dahlia,Uni.,"$22,545,080","2,236","$10,005,895","2,226",9/15/06,neonoir
145,9,Against All Odds,Col.,"$21,689,062",979,"$3,766,128",976,3/2/84,neonoir
146,10,Deep Cover,NL,"$16,639,799",902,"$3,451,356",901,4/17/92,neonoir
147,11,Devil in a Blue Dress,Sony,"$16,140,822","1,432","$5,422,385","1,432",9/29/95,neonoir
148,12,Twilight (1998),Par.,"$15,055,091","1,354","$5,866,411","1,351",3/6/98,neonoir
149,13,Kiss of Death,Fox,"$14,942,422","1,627","$5,317,066","1,623",4/21/95,neonoir
150,14,Hollywoodland,Focus,"$14,426,251","1,551","$5,926,177","1,548",9/8/06,neonoir
151,15,Frank Miller's Sin City: A Dame to Kill For,W/Dim.,"$13,757,804","2,894","$6,317,683","2,894",8/22/14,neonoir
152,16,The Grifters,Mira.,"$13,446,769",780,"$71,034",2,12/7/90,neonoir
153,17,True Confessions,MGM,"$12,850,276",-,n/a,-,9/25/81,neonoir
154,18,D.O.A.,BV,"$12,706,478",908,"$3,751,432",875,3/18/88,neonoir
155,19,The Postman Always Rings Twice,Par.,"$12,376,625",-,n/a,-,3/20/81,neonoir
156,20,Mulholland Falls,MGM,"$11,526,099","1,625","$4,306,221","1,625",4/26/96,neonoir
157,21,Thief,MGM,"$11,492,915",-,n/a,-,3/27/81,neonoir
158,22,Someone to Watch Over Me,Col.,"$10,278,549",894,"$2,908,796",892,10/9/87,neonoir
159,23,The Two Jakes,Par.,"$10,005,969","1,206","$3,729,149","1,206",8/10/90,neonoir
160,24,The Man Who Wasn't There,USA,"$7,504,257",259,"$664,404",39,11/2/01,neonoir
161,25,Mulholland Drive,Uni.,"$7,220,243",247,"$587,591",66,10/8/01,neonoir
162,26,U-Turn,Sony,"$6,682,098","1,311","$2,730,440","1,230",10/3/97,neonoir
163,27,Night and the City,Fox,"$6,202,756","1,100","$43,036",1,10/16/92,neonoir
164,28,Palmetto,Sony,"$5,878,911","1,505","$2,876,753","1,505",2/20/98,neonoir
165,29,The Last Seduction,Oct.,"$5,842,603",151,"$45,058",5,10/26/94,neonoir
166,30,52 Pick-Up,Can.,"$5,186,646",730,"$1,654,835",730,11/7/86,neonoir
167,31,"Kiss Kiss, Bang Bang",WB,"$4,243,756",226,"$180,660",8,10/21/05,neonoir
168,32,Playing God,BV,"$4,166,918","1,479","$1,937,374","1,479",10/17/97,neonoir
169,33,Blood Simple,Circ,"$3,851,855",-,n/a,-,1/18/85,neonoir
170,34,Bound,Gram.,"$3,802,260",262,"$900,902",261,10/4/96,neonoir
171,35,Lost Highway,Oct.,"$3,675,201",337,"$212,710",12,2/21/97,neonoir
172,36,Veronica Mars,WB,"$3,322,127",347,"$1,988,351",291,3/14/14,neonoir
173,37,Romeo Is Bleeding,Gram.,"$3,275,585",247,"$1,225,737",247,2/4/94,neonoir
174,38,China Moon,Orion,"$3,038,499",377,"$1,183,843",377,3/4/94,neonoir
175,39,"After Dark, My Sweet",Ave,"$2,678,414",153,"$244,919",30,8/24/90,neonoir
176,40,Red Rock West,Roxie,"$2,502,551",22,"$11,562",1,1/28/94,neonoir
177,41,Transsiberian,First,"$2,206,405",154,"$34,615",2,7/18/08,neonoir
178,42,Brick,Focus,"$2,075,743",45,"$83,574",2,3/31/06,neonoir
179,43,Novocaine,Art.,"$2,036,682",189,"$418,098",105,11/16/01,neonoir
180,44,Goodbye Lover,WB,"$1,940,299",865,"$1,011,175",865,4/16/99,neonoir
181,45,Stormy Monday,Atl,"$1,791,328",49,"$44,734",2,4/22/88,neonoir
182,46,The Gingerbread Man,Poly,"$1,677,131",30,"$118,278",8,1/23/98,neonoir
183,47,City of Industry,Orion,"$1,568,258",441,"$803,811",441,3/14/97,neonoir
184,48,One False Move,IRS,"$1,543,112",32,"$44,545",5,5/8/92,neonoir
185,49,The Hot Spot,Orion,"$1,293,976",365,"$112,188",23,10/12/90,neonoir
186,50,Blood and Wine,FoxS,"$1,094,668",166,"$420,993",166,2/21/97,neonoir
187,51,Mike's Murder,WB,"$1,059,966",80,"$234,438",80,3/9/84,neonoir
188,52,The Salton Sea,WB,"$764,554",30,"$166,309",15,4/26/02,neonoir
189,53,Deceiver,MGM,"$572,433",211,"$279,103",211,1/30/98,neonoir
190,54,The Underneath,Gram.,"$536,023",21,"$141,345",21,4/28/95,neonoir
191,55,The Singing Detective,ParC,"$337,174",46,"$28,324",5,10/24/03,neonoir
