,ratings,title
0,7.2,10 Things I Hate About You
1,7.6,12 and Holding
2,7.6,12 Monkeys
3,8.1,12 Years a Slave
4,5.7,12
5,7.6,127 Hours
6,6.5,1492 Conquest of Paradise
7,6.1,15 Minutes
8,6.4,17 Again
9,6.7,187
10,8.3,2001 A Space Odyssey
11,5.8,2012
12,7.7,25th Hour
13,6.1,30 Minutes or Less
14,7.5,42
15,5.8,44 Inch Chest
16,6.9,48 Hrs.
17,7.7,50 50
18,7.7,500 Days of Summer
19,6.5,8MM
20,7.1,9
21,7.6,A Few Good Men
22,7.0,A Serious Man
23,5.9,Above the Law
24,6.7,Absolute Power
25,7.6,"Abyss, The"
26,7.7,Adaptation
27,6.8,"Addams Family, The"
28,7.1,"Adjustment Bureau, The"
29,6.4,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The"
30,7.0,Affliction
31,4.9,After School Special
32,5.9,After.Life
33,6.6,Agnes of God
34,6.4,Air Force One
35,6.1,Airplane 2 The Sequel
36,8.0,Airplane
37,6.8,Ali
38,6.4,Alien 3
39,6.3,Alien Nation
40,5.6,Alien vs. Predator
41,8.5,Alien
42,8.4,Aliens
43,8.3,All About Eve
44,4.8,All About Steve
45,6.2,All the King's Men
46,8.0,All the President's Men
47,7.9,Almost Famous
48,2.3,Alone in the Dark
49,8.3,Amadeus
50,8.4,Amelia
51,8.3,"American, The"
52,8.4,American Beauty
53,7.8,American Gangster
54,7.5,American Graffiti
55,8.6,American History X
56,7.3,American Hustle
57,7.5,American Madness
58,6.0,American Outlaws
59,7.0,American Pie
60,6.8,"American President, The"
61,7.6,American Psycho
62,5.8,American Shaolin King of Kickboxers II
63,7.5,American Splendor
64,2.8,"Amityville Asylum, The"
65,7.9,Amour
66,7.3,An Education
67,5.9,Analyze That
68,6.7,Analyze This
69,7.1,Anastasia
70,5.6,Angel Eyes
71,6.7,Angels & Demons
72,6.6,Anna Karenina
73,8.1,Annie Hall
74,6.4,"Anniversary Party, The"
75,6.9,Anonymous
76,6.1,Antitrust
77,6.6,Antz
78,8.3,"Apartment, The"
79,8.5,Apocalypse Now
80,7.6,Apollo 13
81,6.2,April Fool's Day
82,6.7,Apt Pupil
83,6.6,Arbitrage
84,5.4,Arcade
85,5.1,Arctic Blue
86,7.7,Argo
87,6.6,Armageddon
88,7.6,Army of Darkness
89,8.1,Arsenic and Old Lace
90,6.9,Arthur
91,8.0,"Artist, The"
92,7.7,As Good As It Gets
93,6.3,Assassins
94,6.9,"Assignment, The"
95,5.9,At First Sight
96,7.3,August Osage County
97,7.0,Austin Powers   International Man of Mystery
98,6.6,Austin Powers   The Spy Who Shagged Me
99,4.3,Authors Anonymous
100,5.5,Autumn in New York
101,7.9,Avatar
102,8.1,"Avengers, The (2012)"
103,8.1,"Avengers, The"
104,5.3,"Avventura, L' (The Adventure)"
105,7.8,Awakenings
106,7.5,Babel
107,6.3,"Bachelor Party, The"
108,6.3,Bachelor Party
109,7.4,Back to the Future II & III.pdf
110,8.5,Back to the Future.pdf
111,5.3,"Back up Plan, The"
112,6.7,Backdraft
113,6.8,Bad Boys
114,5.8,Bad Country
115,7.8,Bad Day at Black Rock
116,5.6,Bad Dreams
117,6.7,Bad Lieutenant
118,7.1,Bad Santa
119,5.7,Bad Teacher
120,8.1,Badlands
121,6.5,Bamboozled
122,8.1,Barry Lyndon
123,7.7,Barton Fink
124,6.9,Basic Instinct
125,6.5,Basic
126,6.9,Basquiat
127,7.0,Batman 2
128,7.6,Batman
129,5.8,Battle Los Angeles
130,8.1,"Battle of Algiers, The"
131,6.1,"Battle of Shaker Heights, The"
132,6.6,"Beach, The"
133,6.3,Bean
134,7.3,Beasts of the Southern Wild
135,6.8,Beavis and Butt head Do America
136,7.2,Beginners
137,7.8,Being Human
138,7.8,Being John Malkovich
139,8.0,Being There
140,7.2,"Believer, The"
141,5.9,Beloved
142,7.2,Benny & Joon
143,7.3,"Best Exotic Marigold Hotel, The"
144,7.6,"Big Blue, The"
145,8.0,Big Fish
146,8.2,"Big Lebowski, The"
147,6.5,"Big White, The"
148,7.3,Big
149,6.1,Birthday Girl
150,5.6,"Black Dahlia, The"
151,6.6,Black Rain
152,7.0,Black Snake Moan
153,8.0,Black Swan
154,6.7,Blade II
155,8.2,Blade Runner
156,7.1,Blade
157,6.6,"Blast from the Past, The"
158,7.7,"Blind Side, The"
159,5.6,"Bling Ring, The"
160,6.1,Blood and Wine
161,5.7,Blood Simple
162,7.6,Blow
163,7.4,Blue Valentine
164,7.8,Blue Velvet
165,5.6,"Bodies, Rest & Motion"
166,7.4,Body Heat
167,7.0,Body of Evidence
168,6.1,Bodyguard
169,7.9,Bones
170,8.0,Bonfire of the Vanities
171,7.9,Bonnie and Clyde
172,7.9,Boogie Nights
173,6.9,"Book of Eli, The"
174,7.9,"Boondock Saints, The"
175,6.3,Boondock Saints 2 All Saints Day
176,7.1,Bottle Rocket
177,7.4,Bound
178,7.4,"Bounty Hunter, The"
179,7.9,"Bourne Identity, The"
180,7.8,"Bourne Supremacy, The"
181,8.1,"Bourne Ultimatum, The"
182,5.6,"Box, The"
183,8.4,Braveheart
184,8.0,Brazil
185,3.1,Break
186,6.9,Breakdown
187,7.9,"Breakfast Club, The"
188,7.7,Breaking Away
189,6.4,Brick
190,6.8,Bridesmaids
191,6.8,Bringing Out the Dead
192,7.2,Broadcast News
193,6.0,Broken Arrow
194,7.2,Broken Embraces
195,6.9,"Brothers Bloom, The"
196,6.7,Bruce Almighty
197,8.2,Buffy the Vampire Slayer
198,7.1,Bull Durham
199,7.0,Buried
200,6.4,Burlesque
201,7.0,Burn After Reading
202,5.6,Burning Annie
203,7.7,"Butterfly Effect, The"
204,6.0,Cable Guy
205,5.4,Candle to Water
206,7.4,Capote
207,5.9,Carrie
208,6.3,Cars 2
209,6.2,Case 39
210,8.2,Casino
211,7.7,Cast Away
212,8.0,Catch Me If You Can
213,3.3,Catwoman
214,6.2,Cecil B. Demented
215,6.3,Cedar Rapids
216,6.7,Celeste & Jesse Forever
217,4.4,"Cell, The"
218,6.5,Cellular
219,6.4,"Change Up, The"
220,7.8,Changeling
221,6.5,Chaos
222,8.0,Charade
223,5.5,Charlie's Angels
224,7.4,Chasing Amy
225,6.4,Chasing Sleep
226,5.1,Cherry Falls
227,8.2,Chinatown
228,6.7,Christ Complex
229,7.1,Chronicle
230,6.9,"Chronicles of Narnia The Lion, the Witch and the Wardrobe"
231,7.4,"Cider House Rules, The"
232,7.3,"Cincinnati Kid, The"
233,8.5,Cinema Paradiso
234,5.9,Cirque du Freak The Vampire's Assistant
235,8.4,Citizen Kane
236,6.4,City of Joy
237,5.8,Clash of the Titans
238,7.8,Clerks
239,6.4,Cliffhanger
240,8.4,"Clockwork Orange, A.pdf"
241,6.8,Clueless
242,6.5,Cobb
