date	close
2016-Aug-12	44.69
2016-Aug-11	43.46
2016-Aug-10	41.49
2016-Aug-09	42.75
2016-Aug-08	42.87
2016-Aug-05	41.98
2016-Aug-04	41.81
2016-Aug-03	41.17
2016-Aug-02	39.72
2016-Aug-01	40.08
2016-Jul-29	41.38
2016-Jul-28	41.1
2016-Jul-27	41.91
2016-Jul-26	42.64
2016-Jul-25	43.05
2016-Jul-22	44.26
2016-Jul-21	44.54
2016-Jul-20	44.85
2016-Jul-19	44.57
2016-Jul-18	45.2
2016-Jul-15	46.28
2016-Jul-14	45.49
2016-Jul-13	45.11
2016-Jul-12	46.62
2016-Jul-11	44.55
2016-Jul-08	45.13
2016-Jul-07	45.19
2016-Jul-06	47.89
2016-Jul-05	46.86
2016-Jul-01	49.28
2016-Jun-30	48.4
2016-Jun-29	49.54
2016-Jun-28	48.11
2016-Jun-27	46.61
2016-Jun-24	47.57
2016-Jun-23	50.13
2016-Jun-22	49
2016-Jun-21	48.95
2016-Jun-20	49.2
2016-Jun-17	48.26
2016-Jun-16	45.99
2016-Jun-15	47.49
2016-Jun-14	47.9
2016-Jun-13	48.56
2016-Jun-10	48.87
2016-Jun-09	50.46
2016-Jun-08	51.53
2016-Jun-07	50.43
2016-Jun-06	49.71
2016-Jun-03	48.88
2016-Jun-02	49.05
2016-Jun-01	48.91
2016-05-31	48.84
2016-05-27	49.56
2016-05-26	49.4
2016-05-25	49.74
2016-05-24	49.1
2016-05-23	48.11
2016-05-20	47.67
2016-05-19	48.27
2016-05-18	47.89
2016-05-17	48.59
2016-05-16	47.89
2016-05-13	46.36
2016-05-12	46.39
2016-05-11	45.99
2016-05-10	44.53
2016-05-09	43.24
2016-05-06	44.56
2016-05-05	44.51
2016-05-04	44.05
2016-05-03	43.88
2016-05-02	44.9
2016-04-29	45.99
2016-04-28	45.88
2016-04-27	45.33
2016-04-26	44.66
2016-04-25	42.99
2016-04-22	43.75
2016-04-21	43.43
2016-04-20	42.74
2016-04-19	40.96
2016-04-18	40.05
2016-04-15	40.4
2016-04-14	41.45
2016-04-13	41.55
2016-04-12	41.64
2016-04-11	40.34
2016-04-08	39.66
2016-04-07	37.53
2016-04-06	37.73
2016-04-05	36.56
2016-04-04	35.46
2016-04-01	36.63
2016-03-31	38.11
2016-03-30	38.3
2016-03-29	38.49
2016-03-28	39.3
2016-03-24	39.59
2016-03-23	39.77
2016-03-22	41.22
2016-03-21	41.62
2016-03-18	39.35
2016-03-17	40.34
2016-03-16	38.61
2016-03-15	36.72
2016-03-14	37.38
2016-03-11	38.49
2016-03-10	38.02
2016-03-09	38.18
2016-03-08	36.33
2016-03-07	37.98
2016-03-04	36.33
2016-03-03	34.69
2016-03-02	34.73
2016-03-01	33.89
2016-02-29	33.9
2016-02-26	32.84
2016-02-25	33.08
2016-02-24	32.22
2016-02-23	31.37
2016-02-22	33.35
2016-02-19	29.87
2016-02-18	30.57
2016-02-17	31.35
2016-02-16	29.15
2016-02-12	29.08
2016-02-11	27.3
2016-02-10	27.33
2016-02-09	28.35
2016-02-08	30.12
2016-02-05	31
2016-02-04	31.69
2016-02-03	32.75
2016-02-02	29.71
2016-02-01	31.32
2016-01-29	33.74
2016-01-28	33.72
2016-01-27	32.16
2016-01-26	30.51
2016-01-25	29.8
2016-01-22	32.25
2016-01-21	29.85
2016-01-20	26.76
2016-01-19	28.28
2016-01-15	29.7
2016-01-14	31.21
2016-01-13	30.56
2016-01-12	30.58
2016-01-11	31.13
2016-01-08	32.88
2016-01-07	33.26
2016-01-06	34.06
2016-01-05	36.14
2016-01-04	36.88
2015-12-31	37.07
2015-12-30	36.83
2015-12-29	37.33
2015-12-28	36.69
2015-12-24	38.12
2015-12-23	37.89
2015-12-22	36.47
2015-12-21	34.66
2015-12-18	34.55
2015-12-17	34.82
2015-12-16	35.74
2015-12-15	36.74
2015-12-14	36.27
2015-12-11	35.35
2015-12-10	36.57
2015-12-09	37.21
2015-12-08	37.85
2015-12-07	37.63
2015-12-04	40.14
2015-12-03	41.27
2015-12-02	40.1
2015-12-01	41.65
2015-11-30	41.68
2015-11-27	41.77
2015-11-25	43.2
2015-11-24	42.65
2015-11-23	42.01
2015-11-20	39.39
2015-11-19	40.49
2015-11-18	40.67
2015-11-17	41.11
2015-11-16	42.04
2015-11-13	40.73
2015-11-12	41.6
2015-11-11	43.07
2015-11-10	43.63
2015-11-09	44.11
2015-11-06	44.52
2015-11-05	45.39
2015-11-04	46.58
2015-11-03	47.68
2015-11-02	46.08
2015-10-30	46.39
2015-10-29	45.75
2015-10-28	46.17
2015-10-27	43.39
2015-10-26	43.73
2015-10-23	44.73
2015-10-22	45.49
2015-10-21	45.26
2015-10-20	45.84
2015-10-19	46.19
2015-10-16	47.26
2015-10-15	46.86
2015-10-14	46.29
2015-10-13	46.57
2015-10-12	47.44
2015-10-09	49.49
2015-10-08	49.67
2015-10-07	48.13
2015-10-06	49.04
2015-10-05	46.2
2015-10-02	45.66
2015-10-01	45.02
2015-09-30	45.34
2015-09-29	44.89
2015-09-28	44.48
2015-09-25	45.34
2015-09-24	45.1
2015-09-23	44.61
2015-09-22	46.17
2015-09-21	46.48
2015-09-18	44.98
2015-09-17	46.9
2015-09-16	47.13
2015-09-15	45.15
2015-09-14	44.12
2015-09-11	44.78
2015-09-10	45.73
2015-09-09	44.11
2015-09-08	45.73
2015-09-04	45.77
2015-09-03	46.69
2015-09-02	46.05
2015-09-01	44.19
2015-Aug-31	48.16
2015-Aug-28	45.33
2015-Aug-27	42.78
2015-Aug-26	38.88
2015-Aug-25	39.64
2015-Aug-24	38.06
2015-Aug-21	40.29
2015-Aug-20	40.94
2015-Aug-19	40.55
2015-Aug-18	42.37
2015-Aug-17	41.88
2015-Aug-14	42.18
2015-Aug-13	42.2
2015-Aug-12	43.31
2015-Aug-11	43.25
2015-Aug-10	44.83
2015-Aug-07	43.75
2015-Aug-06	44.84
2015-Aug-05	45.11
2015-Aug-04	45.97
2015-Aug-03	45.3
2015-Jul-31	46.77
2015-Jul-30	48.44
2015-Jul-29	48.89
2015-Jul-28	47.77
2015-Jul-27	46.98
2015-Jul-24	47.96
2015-Jul-23	48.85
2015-Jul-22	49.2
2015-Jul-21	50.59
2015-Jul-20	49.94
2015-Jul-17	50.78
2015-Jul-16	50.92
2015-Jul-15	51.61
2015-Jul-14	53.37
2015-Jul-13	52.01
2015-Jul-10	52.84
2015-Jul-09	52.59
2015-Jul-08	51.8
2015-Jul-07	52.95
2015-Jul-06	52.68
2015-Jul-02	56.93
2015-Jul-01	56.96
2015-Jun-30	59.4
2015-Jun-29	58.33
2015-Jun-26	59.63
2015-Jun-25	59.7
2015-Jun-24	60.27
2015-Jun-23	61.01
2015-Jun-22	59.2
2015-Jun-19	59.61
2015-Jun-18	60.45
2015-Jun-17	59.92
2015-Jun-16	59.97
2015-Jun-15	59.52
2015-Jun-12	59.96
2015-Jun-11	60.77
2015-Jun-10	61.43
2015-Jun-09	60.14
2015-Jun-08	58.14
2015-Jun-05	59.13
2015-Jun-04	58
2015-Jun-03	59.64
2015-Jun-02	61.26
2015-Jun-01	60.2
2015-05-29	60.3
2015-05-28	57.68
2015-05-27	57.51
2015-05-26	58.03
2015-05-22	59.72
2015-05-21	60.72
2015-05-20	58.98
2015-05-19	57.45
2015-05-18	59.43
2015-05-15	59.69
2015-05-14	59.88
2015-05-13	60.5
2015-05-12	60.75
2015-05-11	59.25
2015-05-08	59.39
2015-05-07	58.94
2015-05-06	60.93
2015-05-05	60.4
2015-05-04	58.93
2015-05-01	59.05
2015-04-30	59.6
2015-04-29	58.6
2015-04-28	57.06
2015-04-27	56.99
2015-04-24	57.15
2015-04-23	57.74
2015-04-22	56.16
2015-04-21	55.5
2015-04-20	56.38
2015-04-17	55.74
2015-04-16	56.71
2015-04-15	56.39
2015-04-14	53.45
2015-04-13	51.91
2015-04-10	51.64
2015-04-09	50.79
2015-04-08	50.42
2015-04-07	53.98
2015-04-06	52.14
2015-04-02	49.14
2015-04-01	50.09
2015-03-31	47.6
2015-03-30	48.68
2015-03-27	48.87
2015-03-26	51.43
2015-03-25	49.21
2015-03-24	47.51
2015-03-23	47.45
2015-03-20	45.85
2015-03-19	43.96
2015-03-18	44.66
2015-03-17	43.46
2015-03-16	43.88
2015-03-13	44.84
2015-03-12	47.05
2015-03-11	48.17
2015-03-10	48.29
2015-03-09	50
2015-03-06	49.61
2015-03-05	50.76
2015-03-04	51.53
2015-03-03	50.52
2015-03-02	49.59
2015-02-27	49.76
2015-02-26	48.17
2015-02-25	50.99
2015-02-24	49.28
2015-02-23	49.45
2015-02-20	50.25
2015-02-19	51.16
2015-02-18	52.14
2015-02-17	53.53
2015-02-13	52.78
2015-02-12	51.21
2015-02-11	48.84
2015-02-10	50.02
2015-02-09	52.86
2015-02-06	51.69
2015-02-05	50.48
2015-02-04	48.45
2015-02-03	53.05
2015-02-02	49.57
2015-01-30	48.24
2015-01-29	44.53
2015-01-28	44.45
2015-01-27	46.23
2015-01-26	45.15
2015-01-23	45.59
2015-01-22	46.31
2015-01-21	47.78
2015-01-20	46.35
2015-01-16	48.69
2015-01-15	46.25
2015-01-14	48.48
2015-01-13	45.89
2015-01-12	46.07
2015-01-09	48.36
2015-01-08	48.79
2015-01-07	48.65
2015-01-06	47.93
2015-01-05	50.04
2015-01-02	52.69
2014-12-31	53.27
2014-12-30	54.12
2014-12-29	53.61
2014-12-26	54.73
2014-12-24	55.84
2014-12-23	57.12
2014-12-22	55.26
2014-12-19	56.5
2014-12-18	54.11
2014-12-17	56.47
2014-12-16	55.93
2014-12-15	55.91
2014-12-12	57.81
2014-12-11	59.95
2014-12-10	60.94
2014-12-09	63.5
2014-12-08	63.05
2014-12-05	65.84
2014-12-04	66.81
2014-12-03	67.38
2014-12-02	66.88
2014-12-01	66.54
2014-11-28	66.15
2014-11-26	73.69
2014-11-25	74.09
2014-11-24	75.78
2014-11-21	76.51
2014-11-20	75.5
2014-11-19	74.58
2014-11-18	74.61
2014-11-17	75.64
2014-11-14	75.82
2014-11-13	74.21
