,date,price
0,2-Jun-14,102.4
1,3-Jun-14,102.66
2,4-Jun-14,102.64
3,5-Jun-14,102.48
4,6-Jun-14,102.66
5,9-Jun-14,104.41
6,10-Jun-14,104.35
7,11-Jun-14,104.4
8,12-Jun-14,106.53
9,13-Jun-14,106.91
10,16-Jun-14,107.03
11,17-Jun-14,106.36
12,18-Jun-14,105.97
13,19-Jun-14,106.43
14,20-Jun-14,107.3
15,23-Jun-14,106.17
16,24-Jun-14,106.03
17,25-Jun-14,106.5
18,26-Jun-14,105.7
19,27-Jun-14,105.74
20,30-Jun-14,105.37
21,1-Jul-14,105.3
22,2-Jul-14,104.48
23,3-Jul-14,104.06
24,7-Jul-14,103.53
25,8-Jul-14,103.4
26,9-Jul-14,102.29
27,10-Jul-14,102.93
28,11-Jul-14,100.83
29,14-Jul-14,100.91
30,15-Jul-14,99.96
31,16-Jul-14,101.2
32,17-Jul-14,103.19
33,18-Jul-14,103.13
34,21-Jul-14,104.59
35,22-Jul-14,104.3
36,23-Jul-14,103.02
37,24-Jul-14,102.07
38,25-Jul-14,102.09
39,28-Jul-14,101.67
40,29-Jul-14,100.97
41,30-Jul-14,100.25
42,31-Jul-14,98.15
43,1-Aug-14,97.85
44,4-Aug-14,98.29
45,5-Aug-14,97.38
46,6-Aug-14,96.92
47,7-Aug-14,97.34
48,8-Aug-14,97.65
49,11-Aug-14,98.08
50,12-Aug-14,97.37
51,13-Aug-14,97.59
52,14-Aug-14,97.2
53,15-Aug-14,97.35
54,18-Aug-14,96.41
55,19-Aug-14,94.48
56,20-Aug-14,96.3
57,21-Aug-14,93.96
58,22-Aug-14,93.65
59,25-Aug-14,93.38
60,26-Aug-14,93.86
61,27-Aug-14,93.88
62,28-Aug-14,94.55
63,29-Aug-14,95.96
64,2-Sep-14,92.88
65,3-Sep-14,95.54
66,4-Sep-14,94.45
67,5-Sep-14,93.29
68,8-Sep-14,92.66
69,9-Sep-14,93.22
70,10-Sep-14,91.5
71,11-Sep-14,92.83
72,12-Sep-14,92.27
73,15-Sep-14,92.92
74,16-Sep-14,94.88
75,17-Sep-14,94.42
76,18-Sep-14,93.07
77,19-Sep-14,92.41
78,22-Sep-14,91.5
79,23-Sep-14,91.56
80,24-Sep-14,92.8
81,25-Sep-14,92.53
82,26-Sep-14,93.54
83,29-Sep-14,94.5
84,30-Sep-14,91
