,date	close
0,2016-Aug-12	44.69
1,2016-Aug-11	43.46
2,2016-Aug-10	41.49
3,2016-Aug-09	42.75
4,2016-Aug-08	42.87
5,2016-Aug-05	41.98
6,2016-Aug-04	41.81
7,2016-Aug-03	41.17
8,2016-Aug-02	39.72
9,2016-Aug-01	40.08
10,2016-Jul-29	41.38
11,2016-Jul-28	41.1
12,2016-Jul-27	41.91
13,2016-Jul-26	42.64
14,2016-Jul-25	43.05
15,2016-Jul-22	44.26
16,2016-Jul-21	44.54
17,2016-Jul-20	44.85
18,2016-Jul-19	44.57
19,2016-Jul-18	45.2
20,2016-Jul-15	46.28
21,2016-Jul-14	45.49
22,2016-Jul-13	45.11
23,2016-Jul-12	46.62
24,2016-Jul-11	44.55
25,2016-Jul-08	45.13
26,2016-Jul-07	45.19
27,2016-Jul-06	47.89
28,2016-Jul-05	46.86
29,2016-Jul-01	49.28
30,2016-Jun-30	48.4
31,2016-Jun-29	49.54
32,2016-Jun-28	48.11
33,2016-Jun-27	46.61
34,2016-Jun-24	47.57
35,2016-Jun-23	50.13
36,2016-Jun-22	49
37,2016-Jun-21	48.95
38,2016-Jun-20	49.2
39,2016-Jun-17	48.26
40,2016-Jun-16	45.99
41,2016-Jun-15	47.49
42,2016-Jun-14	47.9
43,2016-Jun-13	48.56
44,2016-Jun-10	48.87
45,2016-Jun-09	50.46
46,2016-Jun-08	51.53
47,2016-Jun-07	50.43
48,2016-Jun-06	49.71
49,2016-Jun-03	48.88
50,2016-Jun-02	49.05
51,2016-Jun-01	48.91
52,2016-05-31	48.84
53,2016-05-27	49.56
54,2016-05-26	49.4
55,2016-05-25	49.74
56,2016-05-24	49.1
57,2016-05-23	48.11
58,2016-05-20	47.67
59,2016-05-19	48.27
60,2016-05-18	47.89
61,2016-05-17	48.59
62,2016-05-16	47.89
63,2016-05-13	46.36
64,2016-05-12	46.39
65,2016-05-11	45.99
66,2016-05-10	44.53
67,2016-05-09	43.24
68,2016-05-06	44.56
69,2016-05-05	44.51
70,2016-05-04	44.05
71,2016-05-03	43.88
72,2016-05-02	44.9
73,2016-04-29	45.99
74,2016-04-28	45.88
75,2016-04-27	45.33
76,2016-04-26	44.66
77,2016-04-25	42.99
78,2016-04-22	43.75
79,2016-04-21	43.43
80,2016-04-20	42.74
81,2016-04-19	40.96
82,2016-04-18	40.05
83,2016-04-15	40.4
84,2016-04-14	41.45
85,2016-04-13	41.55
