date	close
2-Jun-14	102.4
3-Jun-14	102.66
4-Jun-14	102.64
5-Jun-14	102.48
6-Jun-14	102.66
9-Jun-14	104.41
10-Jun-14	104.35
11-Jun-14	104.4
12-Jun-14	106.53
13-Jun-14	106.91
16-Jun-14	107.03
17-Jun-14	106.36
18-Jun-14	105.97
19-Jun-14	106.43
20-Jun-14	107.3
23-Jun-14	106.17
24-Jun-14	106.03
25-Jun-14	106.5
26-Jun-14	105.7
27-Jun-14	105.74
30-Jun-14	105.37
1-Jul-14	105.3
2-Jul-14	104.48
3-Jul-14	104.06
7-Jul-14	103.53
8-Jul-14	103.4
9-Jul-14	102.29
10-Jul-14	102.93
11-Jul-14	100.83
14-Jul-14	100.91
15-Jul-14	99.96
16-Jul-14	101.2
17-Jul-14	103.19
18-Jul-14	103.13
21-Jul-14	104.59
22-Jul-14	104.3
23-Jul-14	103.02
24-Jul-14	102.07
25-Jul-14	102.09
28-Jul-14	101.67
29-Jul-14	100.97
30-Jul-14	100.25
31-Jul-14	98.15
1-Aug-14	97.85
4-Aug-14	98.29
5-Aug-14	97.38
6-Aug-14	96.92
7-Aug-14	97.34
8-Aug-14	97.65
11-Aug-14	98.08
12-Aug-14	97.37
13-Aug-14	97.59
14-Aug-14	97.2
15-Aug-14	97.35
18-Aug-14	96.41
19-Aug-14	94.48
20-Aug-14	96.3
21-Aug-14	93.96
22-Aug-14	93.65
25-Aug-14	93.38
26-Aug-14	93.86
27-Aug-14	93.88
28-Aug-14	94.55
29-Aug-14	95.96
2-Sep-14	92.88
3-Sep-14	95.54
4-Sep-14	94.45
5-Sep-14	93.29
8-Sep-14	92.66
9-Sep-14	93.22
10-Sep-14	91.5
11-Sep-14	92.83
12-Sep-14	92.27
15-Sep-14	92.92
16-Sep-14	94.88
17-Sep-14	94.42
18-Sep-14	93.07
19-Sep-14	92.41
22-Sep-14	91.5
23-Sep-14	91.56
24-Sep-14	92.8
25-Sep-14	92.53
26-Sep-14	93.54
29-Sep-14	94.5
30-Sep-14	91
1-Oct-14	90.65
2-Oct-14	91.01
3-Oct-14	89.74
6-Oct-14	90.34
7-Oct-14	88.85
8-Oct-14	87.75
9-Oct-14	85.77
10-Oct-14	85.82
13-Oct-14	85.74
14-Oct-14	81.84
15-Oct-14	81.78
16-Oct-14	82.7
17-Oct-14	82.75
20-Oct-14	82.71
21-Oct-14	83.05
22-Oct-14	80.52
23-Oct-14	82.09
24-Oct-14	81.01
27-Oct-14	81
28-Oct-14	81.42
29-Oct-14	82.2
30-Oct-14	81.12
31-Oct-14	80.54
3-Nov-14	78.9
4-Nov-14	77.19
5-Nov-14	78.68
6-Nov-14	77.67
7-Nov-14	78.65
10-Nov-14	77.4
11-Nov-14	77.94
12-Nov-14	77.18
13-Nov-14	74.21
14-Nov-14	75.82
17-Nov-14	75.64
18-Nov-14	74.61
19-Nov-14	74.58
20-Nov-14	75.5
21-Nov-14	76.51
24-Nov-14	75.78
25-Nov-14	74.09
26-Nov-14	73.69
28-Nov-14	66.15
1-Dec-14	66.54
2-Dec-14	66.88
3-Dec-14	67.38
4-Dec-14	66.81
5-Dec-14	65.84
8-Dec-14	63.05
9-Dec-14	63.5
10-Dec-14	60.94
11-Dec-14	59.95
12-Dec-14	57.81
15-Dec-14	55.91
16-Dec-14	55.93
17-Dec-14	56.47
18-Dec-14	54.11
19-Dec-14	56.5
22-Dec-14	55.26
23-Dec-14	57.12
24-Dec-14	55.84
26-Dec-14	54.73
29-Dec-14	53.61
30-Dec-14	54.12
31-Dec-14	53.27
2-Jan-15	52.69
5-Jan-15	50.04
6-Jan-15	47.93
7-Jan-15	48.65
8-Jan-15	48.79
9-Jan-15	48.36
12-Jan-15	46.07
13-Jan-15	45.89
14-Jan-15	48.48
15-Jan-15	46.25
16-Jan-15	48.69
20-Jan-15	46.35
21-Jan-15	47.78
22-Jan-15	46.31
23-Jan-15	45.59
26-Jan-15	45.15
27-Jan-15	46.23
28-Jan-15	44.45
29-Jan-15	44.53
30-Jan-15	48.24
2-Feb-15	49.57
3-Feb-15	53.05
4-Feb-15	48.45
5-Feb-15	50.48
6-Feb-15	51.69
9-Feb-15	52.86
10-Feb-15	50.02
11-Feb-15	48.84
12-Feb-15	51.21
13-Feb-15	52.78
17-Feb-15	53.53
18-Feb-15	52.14
19-Feb-15	51.16
20-Feb-15	50.25
23-Feb-15	49.45
24-Feb-15	49.28
25-Feb-15	50.99
26-Feb-15	48.17
27-Feb-15	49.76
2-Mar-15	49.59
3-Mar-15	50.52
4-Mar-15	51.53
5-Mar-15	50.76
6-Mar-15	49.61
9-Mar-15	50
10-Mar-15	48.29
11-Mar-15	48.17
12-Mar-15	47.05
13-Mar-15	44.84
16-Mar-15	43.88
17-Mar-15	43.46
18-Mar-15	44.66
19-Mar-15	43.96
20-Mar-15	45.85
23-Mar-15	47.45
24-Mar-15	47.51
25-Mar-15	49.21
26-Mar-15	51.43
27-Mar-15	48.87
30-Mar-15	48.68
31-Mar-15	47.6
1-Apr-15	50.09
2-Apr-15	49.14
6-Apr-15	52.14
7-Apr-15	53.98
8-Apr-15	50.42
9-Apr-15	50.79
10-Apr-15	51.64
13-Apr-15	51.91
14-Apr-15	53.45
15-Apr-15	56.39
16-Apr-15	56.71
17-Apr-15	55.74
20-Apr-15	56.38
21-Apr-15	55.5
22-Apr-15	56.16
23-Apr-15	57.74
24-Apr-15	57.15
27-Apr-15	56.99
28-Apr-15	57.06
29-Apr-15	58.6
30-Apr-15	59.6
1-May-15	59.05
4-May-15	58.93
5-May-15	60.4
6-May-15	60.93
7-May-15	58.94
8-May-15	59.39
11-May-15	59.25
12-May-15	60.75
13-May-15	60.5
14-May-15	59.88
15-May-15	59.69
18-May-15	59.43
19-May-15	57.45
20-May-15	58.98
21-May-15	60.72
22-May-15	59.72
26-May-15	58.03
27-May-15	57.51
28-May-15	57.68
29-May-15	60.3
1-Jun-15	60.2
2-Jun-15	61.26
3-Jun-15	59.64
4-Jun-15	58
5-Jun-15	59.13
8-Jun-15	58.14
9-Jun-15	60.14
10-Jun-15	61.43
11-Jun-15	60.77
12-Jun-15	59.96
15-Jun-15	59.52
16-Jun-15	59.97
17-Jun-15	59.92
18-Jun-15	60.45
19-Jun-15	59.61
22-Jun-15	59.2
23-Jun-15	61.01
24-Jun-15	60.27
25-Jun-15	59.7
26-Jun-15	59.63
29-Jun-15	58.33
30-Jun-15	59.4
1-Jul-15	56.96
2-Jul-15	56.93
6-Jul-15	52.68
7-Jul-15	52.95
8-Jul-15	51.8
9-Jul-15	52.59
10-Jul-15	52.84
13-Jul-15	52.01
14-Jul-15	53.37
15-Jul-15	51.61
16-Jul-15	50.92
17-Jul-15	50.78
20-Jul-15	49.94
21-Jul-15	50.59
22-Jul-15	49.2
23-Jul-15	48.85
24-Jul-15	47.96
27-Jul-15	46.98
28-Jul-15	47.77
29-Jul-15	48.89
30-Jul-15	48.44
31-Jul-15	46.77
3-Aug-15	45.3
4-Aug-15	45.97
5-Aug-15	45.11
6-Aug-15	44.84
7-Aug-15	43.75
10-Aug-15	44.83
11-Aug-15	43.25
12-Aug-15	43.31
13-Aug-15	42.2
